profile_id,label,condition,response_time_seconds,error,created_at
P01,Output B,LLM-only,66.222,,2026-07-21T07:21:04.390089+00:00
P01,Output A,WorkoutRAG,107.021,,2026-07-21T07:21:04.391424+00:00
P02,Output A,LLM-only,75.718,,2026-07-21T07:24:01.206300+00:00
P02,Output B,WorkoutRAG,100.474,,2026-07-21T07:24:01.208308+00:00
P03,Output B,LLM-only,101.402,,2026-07-21T07:28:43.204290+00:00
P03,Output A,WorkoutRAG,90.792,,2026-07-21T07:35:26.030414+00:00
P04,Output B,LLM-only,73.012,,2026-07-21T07:38:18.272394+00:00
P04,Output A,WorkoutRAG,98.811,,2026-07-21T07:38:18.275339+00:00
P05,Output A,LLM-only,89.049,,2026-07-21T07:41:48.424084+00:00
P05,Output B,WorkoutRAG,120.459,,2026-07-21T07:41:48.427795+00:00
P06,Output A,LLM-only,60.829,,2026-07-21T07:43:59.309640+00:00
P06,Output B,WorkoutRAG,69.535,,2026-07-21T07:43:59.312495+00:00
P07,Output B,LLM-only,47.162,,2026-07-21T07:45:58.304350+00:00
P07,Output A,WorkoutRAG,71.248,,2026-07-21T07:45:58.307580+00:00
P08,Output A,LLM-only,105.033,,2026-07-21T07:48:29.441220+00:00
P08,Output B,WorkoutRAG,45.562,,2026-07-21T07:48:29.446429+00:00
P09,Output A,LLM-only,47.938,,2026-07-21T07:50:28.986828+00:00
P09,Output B,WorkoutRAG,71.014,,2026-07-21T07:50:28.991928+00:00
P10,Output A,LLM-only,68.917,,2026-07-21T07:52:42.758057+00:00
P10,Output B,WorkoutRAG,64.322,,2026-07-21T07:52:42.763474+00:00
P11,Output A,LLM-only,63.691,,2026-07-21T07:54:39.517257+00:00
P11,Output B,WorkoutRAG,52.427,,2026-07-21T07:54:39.520859+00:00
P12,Output A,LLM-only,50.543,,2026-07-21T07:56:18.677170+00:00
P12,Output B,WorkoutRAG,48.142,,2026-07-21T07:56:18.684062+00:00
P13,Output B,LLM-only,48.770,,2026-07-21T07:58:09.587313+00:00
P13,Output A,WorkoutRAG,61.670,,2026-07-21T07:58:09.591259+00:00
P14,Output A,LLM-only,66.120,,2026-07-21T08:00:53.805469+00:00
P14,Output B,WorkoutRAG,97.540,,2026-07-21T08:00:53.809460+00:00
P15,Output B,LLM-only,79.436,,2026-07-21T08:04:06.510472+00:00
P15,Output A,WorkoutRAG,112.720,,2026-07-21T08:04:06.517101+00:00
P16,Output A,LLM-only,42.754,,2026-07-21T08:05:51.575195+00:00
P16,Output B,WorkoutRAG,61.825,,2026-07-21T08:05:51.579743+00:00
P17,Output B,LLM-only,60.069,,2026-07-21T08:23:14.365571+00:00
P17,Output A,WorkoutRAG,86.645,,2026-07-21T08:24:41.022347+00:00
P18,Output B,LLM-only,75.414,,2026-07-21T08:25:56.979035+00:00
P18,Output A,WorkoutRAG,91.749,,2026-07-21T08:27:28.733875+00:00
P19,Output A,LLM-only,50.454,,2026-07-21T08:28:19.738821+00:00
P19,Output B,WorkoutRAG,76.306,,2026-07-21T08:29:36.054349+00:00
P20,Output B,LLM-only,74.134,,2026-07-21T08:30:50.653278+00:00
P20,Output A,WorkoutRAG,98.494,,2026-07-21T08:32:29.154743+00:00
